;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
0;7828895664;1464;1720110760;8629315;Wiser Warriors;8629318;Mad Monkeys;16059;Destiny League;888625;1;21;30;False;21.0
1;7828873252;3287;1720109802;9366989;Vrooomy.io;9081007;Sibe Team;15898;European Pro League  2023-2024 Season;888597;1;31;50;False;
2;7828841451;2944;1720108526;9381131;Uzumaki;9433231;Night foxes;15901;Ultras Dota Pro League  2023-24;888603;1;42;54;False;21.0
3;7828829424;1577;1720108074;8629005;Flawless Goblins;2443375;Foxy gaming;16059;Destiny League;888590;1;31;22;True;21.0
4;7828827429;2609;1720108440;9467430;;5;G2 x iG;16881;Riyadh Masters 2024 at Esports World Cup;888615;3;17;8;True;21.0
5;7828822372;2148;1720108401;8724984;Virtus.pro;8605863;Entity;16881;Riyadh Masters 2024 at Esports World Cup;888612;3;9;24;False;21.0
6;7828821346;3001;1720107961;15;LGD Gaming;8254400;beastcoast;16881;Riyadh Masters 2024 at Esports World Cup;888611;3;25;27;True;21.0
7;7828779022;1812;1720106104;9433231;Night foxes;9381131;Uzumaki;15901;Ultras Dota Pro League  2023-24;888603;1;34;18;True;21.0
8;7828747050;2869;1720105338;9366989;Vrooomy.io;9081007;Sibe Team;15898;European Pro League  2023-2024 Season;888597;1;34;36;True;21.0
9;7828744979;1388;1720104859;2443375;Foxy gaming;8629005;Flawless Goblins;16059;Destiny League;888590;1;26;16;True;21.0
10;7828688505;1465;1720102787;8629005;Flawless Goblins;2443375;Foxy gaming;16059;Destiny League;888590;1;26;19;True;21.0
11;7828687937;2012;1720103104;8728920;nouns;9338413;MOUZ;16881;Riyadh Masters 2024 at Esports World Cup;888570;3;17;35;False;21.0
12;7828687430;2609;1720102713;9303484;Heroic;8894818;PSG.Quest;16881;Riyadh Masters 2024 at Esports World Cup;888572;3;19;29;False;21.0
13;7828640498;2304;1720101543;8574561;Azure Ray;9467224;;16881;Riyadh Masters 2024 at Esports World Cup;888569;3;3;27;False;21.0
14;7828626120;1495;1720100433;9466943;Team Tea;9449532;Kalmychata;15898;European Pro League  2023-2024 Season;888566;1;34;14;True;21.0
15;7828622285;1559;1720100285;8629324;Swift Knights;8629317;Bright Crusaders;16059;Destiny League;888571;1;33;20;True;21.0
16;7828600755;2057;1720099451;9360721;KIBA ARMS;9381131;Uzumaki;15901;Ultras Dota Pro League  2023-24;888567;1;48;19;True;21.0
17;7828569841;2077;1720098540;8894818;PSG.Quest;9303484;Heroic;16881;Riyadh Masters 2024 at Esports World Cup;888572;3;9;31;False;21.0
18;7828558285;1588;1720097762;8629317;Bright Crusaders;8629324;Swift Knights;16059;Destiny League;888571;1;22;26;False;21.0
19;7828554231;3531;1720097712;9338413;MOUZ;8728920;nouns;16881;Riyadh Masters 2024 at Esports World Cup;888570;3;28;31;False;21.0
20;7828540301;2161;1720097584;8574561;Azure Ray;9467224;;16881;Riyadh Masters 2024 at Esports World Cup;888569;3;8;20;False;21.0
21;7828499241;3078;1720095268;9381131;Uzumaki;9360721;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;888567;1;29;40;False;21.0
22;7828498739;3248;1720095448;9449532;Kalmychata;9466943;Team Tea;15898;European Pro League  2023-2024 Season;888566;1;40;43;False;21.0
23;7828481165;1907;1720094876;2443375;Foxy gaming;8629324;Swift Knights;16059;Destiny League;888560;1;58;43;True;21.0
24;7828444011;1427;1720093082;5;G2 x iG;8605863;Entity;16881;Riyadh Masters 2024 at Esports World Cup;888564;3;11;26;False;21.0
25;7828438917;2509;1720092900;15;LGD Gaming;8724984;Virtus.pro;16881;Riyadh Masters 2024 at Esports World Cup;888555;3;18;39;False;21.0
26;7828436630;2315;1720092490;9467430;;8254400;beastcoast;16881;Riyadh Masters 2024 at Esports World Cup;888557;3;17;42;False;21.0
27;7828425222;1814;1720091666;9280056;JustBetter;9247798;Team Hryvnia;15898;European Pro League  2023-2024 Season;888548;1;20;48;False;21.0
28;7828415169;2740;1720091056;8629324;Swift Knights;2443375;Foxy gaming;16059;Destiny League;888560;1;50;53;False;21.0
29;7828405556;1931;1720090515;9360721;KIBA ARMS;9443631;Shinigami Gaming;15901;Ultras Dota Pro League  2023-24;888553;1;46;18;True;21.0
30;7828366697;2262;1720088403;9467430;;8254400;beastcoast;16881;Riyadh Masters 2024 at Esports World Cup;888557;3;33;13;True;21.0
31;7828363163;2664;1720088400;15;LGD Gaming;8724984;Virtus.pro;16881;Riyadh Masters 2024 at Esports World Cup;888555;3;33;24;True;21.0
32;7828358297;1427;1720088044;9443631;Shinigami Gaming;9360721;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;888553;1;11;36;False;21.0
33;7828346962;2403;1720087139;9280056;JustBetter;9247798;Team Hryvnia;15898;European Pro League  2023-2024 Season;888548;1;50;24;True;21.0
34;7828311366;1503;1720088455;8629014;Dragon Blood;8629005;Flawless Goblins;16059;Destiny League;888545;1;33;9;True;21.0
35;7828308680;1224;1720085054;9443631;Shinigami Gaming;9270745;Elite Eclipse;15901;Ultras Dota Pro League  2023-24;888550;1;28;41;False;21.0
36;7828292019;1635;1720083819;9247798;Team Hryvnia;9280056;JustBetter;15898;European Pro League  2023-2024 Season;888548;1;34;11;True;21.0
37;7828268794;1694;1720082216;8629005;Flawless Goblins;8629014;Dragon Blood;16059;Destiny League;888545;1;35;25;True;21.0
38;7828243633;2097;1720080490;9270745;Elite Eclipse;9395679;Shinigami Gaming;15901;Ultras Dota Pro League  2023-24;888547;1;28;52;False;21.0
39;7828225142;1756;1720079342;8629014;Dragon Blood;8629005;Flawless Goblins;16059;Destiny League;888545;1;26;25;True;21.0
40;7828192834;2328;1720077106;9443631;Shinigami Gaming;9270745;Elite Eclipse;15901;Ultras Dota Pro League  2023-24;888544;1;23;28;False;21.0
41;7828185434;1400;1720076303;9425660;Shadow Avengers;8629318;Mad Monkeys;16059;Destiny League;888543;1;20;31;False;21.0
42;7828179612;2024;1720075941;8629315;Wiser Warriors;9426115;Dark Rebellion;16059;Destiny League;888542;1;19;34;False;21.0
43;7828152143;1824;1720073522;8629318;Mad Monkeys;9425660;Shadow Avengers;16059;Destiny League;888543;1;37;33;True;21.0
44;7828150431;1535;1720073470;9426115;Dark Rebellion;8629315;Wiser Warriors;16059;Destiny League;888542;1;32;14;True;21.0
45;7828115562;2086;1720070367;2443375;Foxy gaming;9425656;LSG;16059;Destiny League;888535;1;25;42;False;21.0
46;7828108269;2463;1720069726;8629318;Mad Monkeys;8629317;Bright Crusaders;16059;Destiny League;888533;1;30;40;False;21.0
47;7828091849;1496;1720068199;9425656;LSG;2443375;Foxy gaming;16059;Destiny League;888535;1;30;17;True;21.0
48;7828076742;1627;1720066890;8629317;Bright Crusaders;8629318;Mad Monkeys;16059;Destiny League;888533;1;28;25;True;21.0
49;7828060550;1572;1720065393;8629324;Swift Knights;8629014;Dragon Blood;16059;Destiny League;888529;1;8;21;False;21.0
50;7828035361;1703;1720063081;8629014;Dragon Blood;8629324;Swift Knights;16059;Destiny League;888529;1;29;17;True;21.0
51;7828006897;1214;1720060383;9466544;kingkong ;9466553;ShadowSpecter;16878;Striking League;888514;1;20;38;False;21.0
52;7827987317;1342;1720058501;9466553;ShadowSpecter;9466544;kingkong ;16878;Striking League;888514;1;18;40;False;21.0
53;7827985047;1732;1720058443;8849990;REAL ECLIPSE;8957156;Silent killer;16635;Dota 2 Space League;888520;1;26;44;False;21.0
54;7827968646;1237;1720056667;9466544;kingkong ;9466553;ShadowSpecter;16878;Striking League;888514;1;22;46;False;21.0
55;7827929623;1951;1720052625;8849990;REAL ECLIPSE;8957156;Silent killer;16635;Dota 2 Space League;888504;1;21;43;False;21.0
56;7827911633;1260;1720050529;9466551;PixelPanda;9466547;KingMakers;16878;Striking League;888487;1;17;36;False;21.0
57;7827902068;1894;1720049627;8970060;Moonwalkers;8849850;HELLBEAR HEROES;16635;Dota 2 Space League;888488;1;29;30;True;21.0
58;7827884175;1318;1720047931;9466547;KingMakers;9466551;PixelPanda;16878;Striking League;888487;1;42;22;True;21.0
